task,freq_norm,amp_norm,volt_norm,curr_norm,pulse_period_steps,phase_lock_fraction,lattice_lock_fraction,joint_lock_fraction,speed_tracking_score,curvature_tracking_score,feedback_to_signal_ratio,mean_energy_drift,return_step,return_distance_a,dominant_recurrence_steps,recurrence_alignment,conservation_alignment,composite_score
D_track,0.245,0.19,0.35,0.35,286,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.3862832207688593,0.42526358275414267,0.40558928325550053,3.278654256143067e-07,50,0.061920870184941114,50,0.8883945460387681,0.99999999999828,0.5519897833772459
D_track,0.245,0.19,0.35,0.36,286,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.3863061052607132,0.4228590719095381,0.39942069176027034,3.274263121276743e-07,50,0.06196776721637029,50,0.8882352522785493,0.9999999999982847,0.5519801645302286
D_track,0.245,0.19,0.36,0.35,286,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.3863071072976768,0.4227423402433358,0.39942434685996314,3.273973037988999e-07,50,0.06196138833931132,50,0.8882569246290555,0.9999999999982849,0.5519710861268564
D_track,0.245,0.19,0.35,0.37,286,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.38632954841570466,0.4204334408066251,0.3936610886247152,3.2698262059826796e-07,50,0.062014685235680066,50,0.888075795163594,0.9999999999982894,0.5519521327332644
D_track,0.245,0.19,0.36,0.36,286,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.3863311018128858,0.4202564241241853,0.3935072734501771,3.2694779441344254e-07,50,0.062008011404939375,50,0.8880984826785455,0.9999999999982897,0.5519435236494015
D_track,0.245,0.19,0.37,0.35,286,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.38633160236517927,0.42019526780875305,0.3936685007307335,3.26923724772465e-07,50,0.06200197187690613,50,0.8881190122927377,0.9999999999982899,0.5519334925576602
D_track,0.245,0.18,0.35,0.37,286,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.38629451525620045,0.42440430348822233,0.405115842254751,3.273366158357758e-07,50,0.062038368615373075,50,0.887995269099911,0.9999999999982856,0.5518764610862497
D_track,0.245,0.18,0.35,0.36,286,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.3862728677454383,0.42671354220170254,0.41134593638988304,3.277644401957226e-07,50,0.06199078043515095,50,0.8881570503034482,0.9999999999982812,0.5518745642851094
D_track,0.245,0.18,0.36,0.36,286,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.38629598454694636,0.42423316169857533,0.4049486987991302,3.27302575456394e-07,50,0.06203170806440695,50,0.8880179180662718,0.9999999999982859,0.5518689562221776
D_track,0.245,0.18,0.36,0.35,286,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.3862738334747659,0.4265982692097135,0.4113492378667476,3.277357831532973e-07,50,0.061984396776777355,50,0.8881787450427973,0.9999999999982814,0.5518656434976638
D_track,0.245,0.18,0.37,0.35,286,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.3862964933364603,0.42417230638142145,0.4051225421740474,3.2727845713260895e-07,50,0.06202564544491264,50,0.8880385321759908,0.9999999999982863,0.5518584618791637
D_track,0.245,0.18,0.35,0.35,286,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.386251744265287,0.4289829912163089,0.41801842832341135,3.2818808354073843e-07,50,0.0619432149523598,50,0.8883186597066763,0.9999999999982767,0.5518510453503945
D_track,0.2425,0.19,0.35,0.35,289,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.3862894268451103,0.425185054392005,0.4093908659189664,3.2781405139757265e-07,50,0.0619225459733309,50,0.8883888555236289,0.9999999999982806,0.5518300532233521
D_track,0.2425,0.19,0.35,0.36,289,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.38631221564091317,0.4227207450599949,0.4031876101720072,3.2737449141564773e-07,50,0.06196949291249919,50,0.8882293889021079,0.9999999999982853,0.55181580695686
D_track,0.2425,0.19,0.36,0.35,289,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.3863132126404728,0.4226043873703303,0.40319230292667946,3.2734541935140166e-07,50,0.06196311374389533,50,0.8882510627036351,0.9999999999982855,0.5518067239138282
D_track,0.2425,0.19,0.35,0.37,289,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.38633555240932244,0.42024973592660525,0.3973886779340995,3.2693041637839657e-07,50,0.062016460954645435,50,0.888069758339276,0.9999999999982898,0.5517847748130754
